frame,time_sec,status,player_id,raw_track_id,person_conf,ground_method,ground_pixel_x,ground_pixel_y,left_ankle_conf,right_ankle_conf,raw_x_m,raw_y_m,stable_x_m,stable_y_m,match_cost,missing_frames,ground_quality,ground_status,corrected_x_m,corrected_y_m,ground_speed_m_per_frame
0,0.0,detected,1,2,0.8742682933807373,ankle_midpoint,871.2373046875,594.4067993164062,0.9908706545829773,0.9929860234260559,2.771976947784424,2.6359636783599854,2.771976947784424,2.6359636783599854,0.0,0,two_ankles,accepted,2.771976947784424,2.6359636783599854,
0,0.0,detected,3,1,0.9059401154518127,ankle_midpoint,1022.93505859375,818.48046875,0.9893251657485962,0.9931828379631042,3.839205265045166,9.884578704833984,3.839205265045166,9.884578704833984,0.0,0,two_ankles,accepted,3.839205265045166,9.884578704833984,
1,0.03333333333333333,detected,1,2,0.873079240322113,ankle_midpoint,871.234619140625,594.40966796875,0.990949809551239,0.9930363297462463,2.771954298019409,2.636096477508545,2.7719667553901672,2.6360234379768372,0.0,0,two_ankles,accepted,2.771954298019409,2.636096477508545,0.00013471683530043904
1,0.03333333333333333,detected,3,1,0.905741274356842,ankle_midpoint,1022.8505859375,818.349365234375,0.9892802834510803,0.9930762052536011,3.8387935161590576,9.88159465789795,3.8390199780464176,9.88323588371277,0.0,0,two_ankles,accepted,3.8387935161590576,9.88159465789795,0.003012320245537036
2,0.06666666666666667,detected,1,2,0.8775520920753479,ankle_midpoint,871.3448486328125,593.57666015625,0.9900243282318115,0.9929391145706177,2.7724671363830566,2.597597122192383,2.7721919268369675,2.618731595873833,0.0,0,two_ankles,accepted,2.7724671363830566,2.597597122192383,0.03850277084765885
2,0.06666666666666667,detected,3,1,0.9122788310050964,ankle_midpoint,1021.4373779296875,817.53662109375,0.9902876615524292,0.9935933947563171,3.8305182456970215,9.863178253173828,3.83519419848919,9.874209949970247,0.0,0,two_ankles,accepted,3.8305182456970215,9.863178253173828,0.020190197229905345
3,0.1,detected,1,2,0.8916141390800476,ankle_midpoint,873.0797119140625,592.861328125,0.9878591895103455,0.9903514981269836,2.7879209518432617,2.5641207695007324,2.7792699880898004,2.5941567240059378,0.0,0,two_ankles,accepted,2.7879209518432617,2.5641207695007324,0.036871216440657904
3,0.1,detected,3,1,0.919223427772522,ankle_midpoint,1020.3480224609375,815.442138671875,0.9914906620979309,0.9930375218391418,3.8255672454833984,9.815226554870605,3.830862069636584,9.847667422175409,0.0,0,two_ankles,accepted,3.8255672454833984,9.815226554870605,0.048206615451394035
4,0.13333333333333333,detected,1,2,0.8908718824386597,ankle_midpoint,873.1058959960938,592.90478515625,0.987871527671814,0.9902979731559753,2.7881851196289062,2.566131353378296,2.783281797282398,2.5815453072234993,0.0,0,two_ankles,accepted,2.7881851196289062,2.566131353378296,0.0020278639371739218
4,0.13333333333333333,detected,3,1,0.919264018535614,ankle_midpoint,1020.33203125,815.4923095703125,0.9915144443511963,0.9930577278137207,3.8254148960113525,9.816383361816406,3.82841084150523,9.833589595013859,0.0,0,two_ankles,accepted,3.8254148960113525,9.816383361816406,0.0011667958996695162
5,0.16666666666666666,detected,1,2,0.8722429275512695,ankle_midpoint,875.6768188476562,591.45263671875,0.9860827326774597,0.9908633828163147,2.810957431793213,2.4980900287628174,2.795735832812265,2.5439904319161926,0.0,0,two_ankles,accepted,2.810957431793213,2.4980900287628174,0.07175095857713366
5,0.16666666666666666,detected,3,1,0.9142124652862549,ankle_midpoint,1026.2069091796875,821.3514404296875,0.991757333278656,0.9905242323875427,3.8572843074798584,9.949501037597656,3.8414039011938126,9.885749744176568,0.0,0,two_ankles,accepted,3.8572843074798584,9.949501037597656,0.13687941771044662
6,0.2,detected,1,2,0.864793062210083,ankle_midpoint,877.9996337890625,591.7213134765625,0.9889003038406372,0.9928171634674072,2.8324038982391357,2.5101613998413086,2.812236462254357,2.528767367482495,0.0,0,two_ankles,accepted,2.8324038982391357,2.5101613998413086,0.02461034178411037
6,0.2,detected,3,1,0.9108923673629761,ankle_midpoint,1025.4287109375,820.4881591796875,0.9929386973381042,0.9914928078651428,3.853179454803467,9.93000602722168,3.8467029003181574,9.905665071546869,0.0,0,two_ankles,accepted,3.853179454803467,9.93000602722168,0.01992248089607098
7,0.23333333333333334,detected,1,2,0.8666684627532959,ankle_midpoint,881.7048950195312,589.489501953125,0.982821524143219,0.9877427816390991,2.8654563426971436,2.405005931854248,2.836185408453611,2.473074721449784,0.0,0,two_ankles,accepted,2.8654563426971436,2.405005931854248,0.11022765774626352
7,0.23333333333333334,detected,3,1,0.901897668838501,ankle_midpoint,1025.863525390625,816.3929443359375,0.9934044480323792,0.991144061088562,3.860150098800659,9.836418151855469,3.852754139635284,9.87450395768574,0.0,0,two_ankles,accepted,3.860150098800659,9.836418151855469,0.09384711126772644
8,0.26666666666666666,detected,1,2,0.8687909245491028,ankle_midpoint,881.6834716796875,589.4539794921875,0.9829205870628357,0.9877716302871704,2.865243911743164,2.4033408164978027,2.84926173493391,2.4416944642213925,0.0,0,two_ankles,accepted,2.865243911743164,2.4033408164978027,0.0016786113488472063
8,0.26666666666666666,detected,3,1,0.9022786021232605,ankle_midpoint,1025.854736328125,816.44189453125,0.9934201836585999,0.9911552667617798,3.8600432872772217,9.837543487548828,3.856034256074156,9.857871746124129,0.0,0,two_ankles,accepted,3.8600432872772217,9.837543487548828,0.0011303933493645763
9,0.3,detected,1,2,0.8541384339332581,ankle_midpoint,888.1343994140625,588.94140625,0.9919312596321106,0.9945159554481506,2.9245152473449707,2.377960205078125,2.8831258155188877,2.4130140476069224,0.0,0,two_ankles,accepted,2.9245152473449707,2.377960205078125,0.0644768691862335
9,0.3,detected,3,1,0.9035515785217285,ankle_midpoint,1030.109619140625,808.3646240234375,0.9958933591842651,0.992974042892456,3.896127462387085,9.649542808532715,3.874076198914974,9.764123724207993,0.0,0,two_ankles,accepted,3.896127462387085,9.649542808532715,0.19143229352405233
10,0.3333333333333333,detected,1,2,0.8748600482940674,ankle_midpoint,891.125,591.2138671875,0.9906007051467896,0.9934437274932861,2.9526736736297607,2.4839320182800293,2.914422351668781,2.444927134409821,0.0,0,two_ankles,accepted,2.9526736736297607,2.4839320182800293,0.1096490864719595
10,0.3333333333333333,detected,3,1,0.905279815196991,ankle_midpoint,1031.5523681640625,805.4378051757812,0.9924928545951843,0.9912201762199402,3.90874981880188,9.58042049407959,3.8896793278640818,9.681457270650212,0.0,0,two_ankles,accepted,3.90874981880188,9.58042049407959,0.07026534164734992
